Status  Humidity (%)    Temperature (C) (F)
OK      86.9            23.9
OK      86.8            23.9
OK      86.8            23.9
OK      86.9            23.9
OK      87.0            24.0
OK      86.9            23.9
OK      86.9            24.0
OK      86.8            24.0
OK      86.7            24.0
OK      86.6            24.0
OK      86.4            24.0
OK      86.2            24.0
OK      85.9            23.9
OK      85.9            24.0
OK      85.9            24.0
OK      85.9            24.0
OK      86.1            24.0
OK      86.1            24.0
OK      86.2            24.0
OK      86.5            24.0
OK      86.4            24.0
OK      86.4            24.0
OK      86.3            24.0
OK      86.3            24.1
OK      86.4            24.0
OK      86.6            24.1
OK      86.8            24.1
OK      86.8            24.1
OK      86.6            24.1
OK      86.5            24.1
OK      86.6            24.1
OK      86.9            24.1
OK      87.3            24.1
OK      87.5            24.1
OK      87.7            24.1
OK      87.6            24.1
OK      87.3            24.1
OK      87.0            24.1
OK      86.8            24.1
OK      86.7            24.1
OK      86.6            24.1
OK      86.5            24.1
OK      86.4            24.1
OK      86.2            24.1
OK      86.0            24.1
OK      86.1            24.1
OK      86.4            24.1
OK      86.6            24.1
OK      86.5            24.1
OK      86.1            24.2
OK      85.7            24.1
OK      85.6            24.1
OK      85.5            24.1
OK      85.5            24.2
OK      85.7            24.2
OK      85.9            24.2
OK      86.0            24.2
OK      86.0            24.2
OK      85.9            24.2
OK      85.8            24.2
OK      85.9            24.2
OK      86.2            24.2
OK      86.7            24.2
OK      87.1            24.2
OK      87.2            24.2
OK      86.8            24.2
OK      86.5            24.2
OK      86.3            24.2
OK      86.4            24.2
OK      86.6            24.2
OK      86.8            24.2
OK      86.8            24.2
OK      86.9            24.2
OK      87.2            24.3
OK      87.5            24.2
OK      87.7            24.3
OK      87.8            24.3
OK      87.6            24.2
OK      87.4            24.3
OK      87.1            24.3
OK      86.8            24.3
OK      86.6            24.3
OK      86.6            24.3
OK      86.3            24.3
OK      86.4            24.3
OK      86.4            24.3
OK      88.1            24.3
OK      88.5            24.3
OK      88.1            24.3
OK      88.3            24.3
OK      88.7            24.4
OK      88.8            24.3
OK      89.3            24.3
OK      89.5            24.3
OK      89.6            24.3
OK      89.6            24.4
OK      89.3            24.4
OK      88.8            24.3
OK      88.5            24.4
OK      88.5            24.4
OK      88.0            24.4
OK      87.6            24.4
OK      87.2            24.4
OK      87.4            24.4
OK      87.8            24.4
OK      87.6            24.4
OK      87.9            24.4
OK      88.1            24.4
OK      88.0            24.4
OK      88.1            24.4
OK      89.2            24.4
OK      89.9            24.4
OK      90.3            24.4
OK      91.1            24.4
OK      92.0            24.4
OK      92.2            24.4
OK      92.3            24.4
OK      92.3            24.4
OK      92.2            24.4
OK      92.2            24.4
OK      94.4            24.5
OK      96.5            24.5
OK      99.0            24.6
OK      96.4            24.6
OK      92.9            24.6
OK      91.1            24.6
OK      89.9            24.6
OK      88.3            24.6
